Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
6/10/2014 23:36:45,185e,,Original empirical research,Educational Research and Evaluation: An International Journal on Theory and Practice,2008,English,Ireland,Western Europe,Secondary,Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Hang Duong,Journal Article,Not defined,Does not address benefits or concerns,no significant perfomance advantage accruing to involvement in private tuition in Ireland (p.465),primary data,Students,,Yes
6/11/2014 0:28:30,204,,Original empirical research,Deprtment of Anthropology amd African Studies of the Johannes Gutenberg University Mainz,2008,English,Egypt,Sub-Saharan Africa,"Primary, Secondary, Tertiary",Single-country / case,Qualitative,marketization/privatization of education,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, providing a legitimate framework for students to  socialize and meet their friends p.58",,Hang Duong,Working Paper,"Current classroom teacher, Other K-12 teachers",Addresses both benefits and concerns,,primary data,"Teachers who tutor, Students, Educational entrepreneurs; student’s parents, friends and colleagues",PT can be seen as unethical in that it contributes to weakening  the public system and has a negative impact on educational equity p.71,Yes
6/11/2014 22:58:22,171e,,Policy analysis,Asia Pacific Education Review,2010,English,South Korea,East Asia,Secondary,Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Peggy,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A [documents],"""the exacerbation of inequalities in education"" p.103",No
6/11/2014 23:13:44,173e,,Original empirical research,Sociology of Education,2011,English,South Korea,East Asia,Secondary,Single-country / case,Quantitative,Functionalist and Institutionalist,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Peggy,Journal Article,Not defined,Addresses both benefits and concerns,,"""Korean Education & Employment Panel (KEEP), a nationally representative baseline survey conducted by the Korea Research Institute for Vocational Education and Training in 2004, 9th graders, high school seniors, and vocational school seniors in 2004."" p. 215.","Teachers who do not tutor, Parents / household, Students, Administrators",,Yes
6/12/2014 17:52:05,172e,,Original empirical research,Teachers College Record,2007,English,South Korea and United States,,Secondary,Comparative,Quantitative,Cultural institutional ,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,Not defined,Unclear,unclear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Peggy,Journal Article,Not defined,Addresses both benefits and concerns,,TIMSS 1995 8th grade teacher and student surveys,"Teachers who do not tutor, Teachers who tutor, Students",,Yes
6/14/2014 13:13:11,117e,,Original empirical research,International Education Studies,2012,English,Georgia,Central Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Mike,Journal Article,Not defined,Raises concerns,,,Parents / household,rich vs poor,No
6/14/2014 13:30:21,135e,,Original empirical research,Journal of Negro Education,1996,English,USA,U.S. & Canada,"Pre-primary, Primary",Single-country / case,Qualitative,None or Unclear to us,,African-American cultural classes,Designated tutoring center or franchise,"Yes, they charge a fee",Small groups,Small firm,To provide extra enrichment activities (sports or arts),,Mike,Journal Article,Institution / Professional tutor,Discusses benefits,,,"Teachers who tutor, Parents / household",,
6/14/2014 13:50:52,137e,,Original empirical research,Theory Into Practice,2009,English,UK,Western Europe,"Pre-primary, Primary, Secondary, Tertiary",Single-country / case,Qualitative,Cultural Capital,Social Cohesion,"Extracurricular activities (Dance, art, sports, music)",Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Small firm,"For cultural reasons, To provide extra enrichment activities (sports or arts)",,Mike,Journal Article,Institution / Professional tutor,Discusses benefits,"Cultural, language, and religious education for Indian families in England",,Author's observations,,No
6/14/2014 16:39:20,114e,,Original empirical research,Journal of Curriculum Studies,2014,English,Hong Kong,East Asia,Secondary,Single-country / case,Qualitative,Privatization of education,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Peggy,Journal Article,"Institution / Professional tutor, College student",Addresses both benefits and concerns,,,Students,,No
6/14/2014 16:48:09,168e,,"Original empirical research, Policy analysis",Journal of Youth Studies,2009,English,Hong Kong,East Asia,Secondary,Single-country / case,Qualitative,Schein’s conceptual framework,"Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor, College student",Addresses both benefits and concerns,,,"Teachers who do not tutor, Teachers who tutor, Tutors who are not teachers, Parents / household, Students, N/A [documents], principals",,No
6/14/2014 21:07:08,175e,,Original empirical research,Chinese Education and Society,1997,English,China,East Asia,Primary,Single-country / case,None or unclear,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,school ,"Student falls behind and needs extra help (Remediation), Make up for perceived failure in the mainstream system / school",,Peggy,Journal Article,Institution / Professional tutor,Addresses both benefits and concerns,,,unclear,,No
6/14/2014 21:23:35,141e,,Original empirical research,Sociology of Education,2010,English,Japan,East Asia,"Primary, Secondary",Single-country / case,Quantitative,Cultural Capital,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Unclear,,"Preparation for exams to make student more competitive, For cultural reasons",,Peggy,Journal Article,Not defined,Does not address benefits or concerns,,1995 Social Stratification and Mobility survey (SSM). p.72 ,Students,,Yes
6/14/2014 22:37:26,146e,,Original empirical research,Economics of Education,2014,English,Hong Kong,East Asia,Secondary,Single-country / case,Quantitative,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, ""reflect educational progress"" p.27 ",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor",Raises concerns,,Questionnaire 2011/2012 Grades 9 and Grade 12,Students,,Yes
